User Id,Gameplays,Deposits,Withdrawals,LoyaltyPoints,Bonus
765,24096,0,3,240954,1272.547133
618,7084,143,5,71545,377.8496502
247,6642,20,0,66520,351.311185
663,6401,52,35,64200,339.0586001
449,6300,13,4,63057,333.0220895
856,6035,30,11,60478,319.4016514
754,5702,24,22,57096,301.5403401
456,5425,4,1,54268,286.6048615
887,4942,0,0,49420,261.0011841
502,4494,111,33,45429,239.9235692
990,4514,0,0,45140,238.3972774
738,4405,0,0,44050,232.640675
39,4265,44,8,42854,226.3242562
218,3839,55,1,38663,204.190384
582,3820,0,0,38200,201.7451483
602,3676,10,9,36792,194.3090968
365,3667,10,33,36654,193.5802793
205,3646,0,0,36460,192.5557097
137,3521,13,16,35243,186.1283839
989,3471,12,20,34730,183.4190838
9,3416,109,9,34687,183.1919885
722,3340,14,0,33470,176.7646627
237,3297,3,1,32983,174.1926761
828,3149,31,7,31631,167.0523766
710,3032,3,2,30331,160.186704
181,3011,10,0,30160,159.283604
922,2838,4,16,28368,149.8195384
272,2833,0,8,28314,149.534349
296,2723,62,19,27502,145.2459442
85,2619,94,3,26654,140.7674132
407,2535,43,28,25509,134.72034
992,2483,18,11,24898,131.4934739
182,2446,16,4,24532,129.560523
836,2430,20,36,24328,128.4831405
748,2341,13,3,23469,123.9465154
89,2342,9,0,23465,123.9253902
505,2308,60,2,23376,123.4553557
869,2298,27,1,23113,122.0663773
540,2247,4,6,22478,118.7127603
458,2190,69,0,22245,117.4822205
377,2187,7,16,21873,115.5175819
987,2171,30,23,21814,115.205986
16,2093,54,39,21122,111.5513357
519,1980,57,0,20085,106.0746415
27,1884,24,2,18956,100.1120689
436,1851,35,0,18685,98.68084023
845,1701,2,14,16992,89.73962201
687,1675,43,0,16965,89.59702727
699,1680,27,10,16915,89.33296294
946,1662,43,15,16805,88.75202141
